Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
      Childminders and related occupations	6122	x	x	184.7	x	x	x	x	x	x	x	x	x	x
      Playworkers	6123	x	x	x	x	x	x	x	x	x	x	x	x	x
      Teaching assistants	6125	13	194.2	212.3	x	x	x	x	x	x	x	x	x	x
      Educational support assistants	6126	x	217.9	231.3	x	x	x	x	x	x	x	x	x	x
    Animal care and control services	613	x	x	260.5	x	x	x	x	x	x	x	x	x	x
      Veterinary nurses	6131	x	x	328.9	x	x	x	x	x	x	x	x	x	x
      Pest control officers	6132	..												
      Animal care services occupations n.e.c.	6139	..												
    Caring personal services	614	35	292.6	298.1	106.8	166.5	184.3	221.7	258.1	325.2	364.2	381.4	412.9	x
      Nursing auxiliaries and assistants	6141	7	345.5	337.8	x	x	x	x	x	x	x	x	x	x
      Ambulance staff (excluding paramedics)	6142	x	x	485.8	x	x	x	x	x	x	x	x	x	x
      Dental nurses	6143	x	x	197.9	x	x	x	x	x	x	x	x	x	x
      Houseparents and residential wardens	6144	x	x	x	x	x	x	x	x	x	x	x	x	x
      Care workers and home carers	6145	25	273.1	281.5	x	x	x	x	x	x	x	x	x	x
      Senior care workers	6146	x	x	472.9	x	x	x	x	x	x	x	x	x	x
      Care escorts	6147	..												
      Undertakers, mortuary and crematorium assistants	6148	x	x	x	x	x	x	x	x	x	x	x	x	x
  Leisure, travel and related personal service occupations	62	12	223.4	255.5	x	120.0	131.1	157.5	191.8	279.8	341.9	362.6	384.1	x
    Leisure and travel services	621	4	x	305.0	x	x	x	x	x	x	x	x	x	x
      Sports and leisure assistants	6211	x	x	316.0	x	x	x	x	x	x	x	x	x	x
      Travel agents	6212	..												
      Air travel assistants	6214	:												
      Rail travel assistants	6215	..												
      Leisure and travel service occupations n.e.c.	6219	x	x	x	x	x	x	x	x	x	x	x	x	x
    Hairdressers and related services	622	x	157.5	186.6	x	x	x	120.0	135.0	x	x	x	x	x
      Hairdressers and barbers	6221	x	150.3	181.6	x	x	x	x	x	x	x	x	x	x
      Beauticians and related occupations	6222	x	x	200.1	x	x	x	x	x	x	x	x	x	x
    Housekeeping and related services	623	x	x	267.2	x	x	x	x	x	x	x	x	x	x
      Housekeepers and related occupations	6231	..												
      Caretakers	6232	x	x	266.0	x	x	x	x	x	x	x	x	x	x
    Cleaning and housekeeping managers and supervisors	624	x	x	x	x	x	x	x	x	x	x	x	x	x
      Cleaning and housekeeping managers and supervisors	6240	x	x	x	x	x	x	x	x	x	x	x	x	x
Sales and customer service occupations	7	70	225.0	238.4	68.5	107.0	120.0	134.9	174.7	264.1	300.0	315.0	341.1	430.0
  Sales occupations	71	57	196.0	221.0	62.0	94.1	112.5	120.0	150.0	241.1	282.0	300.0	318.9	417.5
    Sales assistants and retail cashiers	711	50	167.0	196.8	59.2	84.8	98.9	113.7	134.6	216.4	256.1	275.0	292.5	x
      Sales and retail assistants	7111	40	158.6	186.7	x	x	x	x	x	x	x	x	x	x
      Retail cashiers and check-out operators	7112	6	131.9	170.4	x	x	x	x	x	x	x	x	x	x
      Telephone salespersons	7113	x	426.8	357.9	x	x	x	x	x	x	x	x	x	x
      Pharmacy and other dispensing assistants	7114	x	220.5	231.4	x	x	x	x	x	x	x	x	x	x
      Vehicle and parts salespersons and advisers	7115	x	x	x	x	x	x	x	x	x	x	x	x	x
    Sales related occupations	712	x	418.0	398.7	x	x	x	x	394.2	434.7	x	x	x	x
      Collector salespersons and credit agents	7121	..												
      Debt, rent and other cash collectors	7122	x	411.6	435.6	x	x	x	x	x	x	x	x	x	x
      Roundspersons and van salespersons	7123	x	x	355.0	x	x	x	x	x	x	x	x	x	x
      Market and street traders and assistants	7124	:												
      Merchandisers and window dressers	7125	x	x	x	x	x	x	x	x	x	x	x	x	x
      Sales related occupations n.e.c.	7129	x	x	442.7	x	x	x	x	x	x	x	x	x	x
    Sales supervisors	713	5	327.5	371.0	x	245.3	265.1	299.8	315.9	403.2	x	x	x	x
      Sales supervisors	7130	5	327.5	371.0	x	x	x	x	x	x	x	x	x	x
  Customer service occupations	72	13	300.0	313.7	152.6	194.5	224.9	258.0	285.7	321.0	347.0	382.6	x	x
    Customer service occupations	721	11	297.4	283.9	146.5	183.5	202.3	227.2	275.0	304.9	327.1	340.7	355.2	x
      Call and contact centre occupations	7211	7	292.4	271.3	x	x	x	x	x	x	x	x	x	x
      Telephonists	7213	x	x	264.1	x	x	x	x	x	x	x	x	x	x
      Communication operators	7214	..												
      Market research interviewers	7215	..												
      Customer service occupations n.e.c.	7219	x	312.4	317.3	x	x	x	x	x	x	x	x	x	x
    Customer service managers and supervisors	722	x	x	456.0	x	x	x	x	403.0	x	x	x	x	x
      Customer service managers and supervisors	7220	x	x	456.0	x	x	x	x	x	x	x	x	x	x
Process, plant and machine operatives	8	78	392.0	408.8	236.5	300.2	317.2	327.6	361.9	426.7	468.8	495.2	520.0	612.3
  Process, plant and machine operatives	81	52	384.0	403.9	249.7	301.1	318.7	326.4	357.3	413.1	450.2	477.1	513.8	x
    Process operatives	811	25	363.3	386.3	232.9	299.2	304.2	318.5	338.7	396.1	433.5	454.3	499.5	x
      Food, drink and tobacco process operatives	8111	15	339.8	368.4	x	x	x	x	x	x	x	x	x	x
      Glass and ceramics process operatives	8112	x	x	479.3	x	x	x	x	x	x	x	x	x	x
      Textile process operatives	8113	x	x	315.6	x	x	x	x	x	x	x	x	x	x
      Chemical and related process operatives	8114	x	410.6	485.9	x	x	x	x	x	x	x	x	x	x
      Rubber process operatives	8115	x	549.5	565.7	x	x	x	x	x	x	x	x	x	x
      Plastics process operatives	8116	x	435.0	499.7	x	x	x	x	x	x	x	x	x	x
      Metal making and treating process operatives	8117	..												
      Electroplaters	8118	:												
      Process operatives n.e.c.	8119	x	351.8	350.0	x	x	x	x	x	x	x	x	x	x
    Plant and machine operatives	812	6	408.9	402.9	x	321.1	330.8	354.1	378.1	422.3	452.8	x	x	x
      Paper and wood machine operatives	8121	x	396.8	378.5	x	x	x	x	x	x	x	x	x	x
      Coal mine operatives	8122	:												
      Quarry workers and related operatives	8123	..												
      Energy plant operatives	8124	..												
      Metal working machine operatives	8125	x	410.3	455.3	x	x	x	x	x	x	x	x	x	x
      Water and sewerage plant operatives	8126	..												
      Printing machine assistants	8127	..												
      Plant and machine operatives n.e.c.	8129	x	390.3	377.9	x	x	x	x	x	x	x	x	x	x
    Assemblers and routine operatives	813	15	392.6	430.6	282.9	308.1	330.9	353.7	367.2	436.6	472.2	499.0	561.0	x
      Assemblers (electrical and electronic products)	8131	x	465.0	482.4	x	x	x	x	x	x	x	x	x	x
      Assemblers (vehicles and metal goods)	8132	x	395.4	461.5	x	x	x	x	x	x	x	x	x	x
      Routine inspectors and testers	8133	x	449.1	495.0	x	x	x	x	x	x	x	x	x	x
      Weighers, graders and sorters	8134	x	x	416.6	x	x	x	x	x	x	x	x	x	x
      Tyre, exhaust and windscreen fitters	8135	x	346.9	331.9	x	x	x	x	x	x	x	x	x	x
      Sewing machinists	8137	x	259.6	265.1	x	x	x	x	x	x	x	x	x	x
      Assemblers and routine operatives n.e.c.	8139	5	340.0	379.4	x	x	x	x	x	x	x	x	x	x
    Construction operatives	814	5	384.4	413.3	x	x	315.9	336.8	347.6	410.5	x	x	x	x
      Scaffolders, stagers and riggers	8141	..												
      Road construction operatives	8142	x	478.8	495.5	x	x	x	x	x	x	x	x	x	x
      Rail construction and maintenance operatives	8143	:												
      Construction operatives n.e.c.	8149	x	346.2	390.6	x	x	x	x	x	x	x	x	x	x
  Transport and mobile machine drivers and operatives	82	26	418.1	418.6	199.9	288.3	311.6	338.4	383.3	460.4	495.1	511.7	549.0	x
    Road transport drivers	821	22	416.0	412.8	196.0	282.1	305.8	323.9	378.6	451.2	492.6	511.6	550.0	x
      Large goods vehicle drivers	8211	11	460.0	456.3	x	x	x	x	x	x	x	x	x	x
      Van drivers	8212	7	355.9	357.7	x	x	x	x	x	x	x	x	x	x
      Bus and coach drivers	8213	x	424.0	395.1	x	x	x	x	x	x	x	x	x	x
      Taxi and cab drivers and chauffeurs	8214	x	x	x	x	x	x	x	x	x	x	x	x	x
      Driving instructors	8215	..												
    Mobile machine drivers and operatives	822	x	384.3	419.4	x	x	x	x	381.5	427.5	x	x	x	x
      Crane drivers	8221	:												
      Fork-lift truck drivers	8222	x	386.1	439.0	x	x	x	x	x	x	x	x	x	x
      Agricultural machinery drivers	8223	..												
      Mobile machine drivers and operatives n.e.c.	8229	x	383.2	408.8	x	x	x	x	x	x	x	x	x	x
    Other drivers and transport operatives	823	x	x	540.6	x	x	x	x	x	x	x	x	x	x
      Train and tram drivers	8231	x	x	x	x	x	x	x	x	x	x	x	x	x
      Marine and waterways transport operatives	8232	:												
      Air transport operatives	8233	:												
      Rail transport operatives	8234	x	478.7	480.4	x	x	x	x	x	x	x	x	x	x
      Other drivers and transport operatives n.e.c.	8239	..												
Elementary occupations	9	90	225.0	245.6	65.7	108.6	123.0	142.4	180.4	281.2	318.9	339.7	366.6	434.7
  Elementary trades and related occupations	91	13	333.4	352.0	x	252.2	270.0	291.5	312.0	366.5	402.8	424.9	434.3	x
    Elementary agricultural occupations	911	4	286.0	305.2	x	x	x	x	252.5	325.9	x	x	x	x
      Farm workers	9111	x	x	282.2	x	x	x	x	x	x	x	x	x	x
      Forestry workers	9112	..												
      Fishing and other elementary agriculture occupations n.e.c.	9119	x	320.8	322.5	x	x	x	x	x	x	x	x	x	x
    Elementary construction occupations	912	x	373.5	404.4	x	x	x	300.0	317.4	422.1	x	x	x	x
      Elementary construction occupations	9120	x	357.1	400.8	x	x	x	x	x	x	x	x	x	x
    Elementary process plant occupations	913	6	339.2	360.2	x	280.2	300.1	308.4	321.3	366.2	407.9	x	x	x
      Industrial cleaning process occupations	9132	x	298.3	313.1	x	x	x	x	x	x	x	x	x	x
      Packers, bottlers, canners and fillers	9134	x	362.4	384.4	x	x	x	x	x	x	x	x	x	x
      Elementary process plant occupations n.e.c.	9139	x	319.7	350.4	x	x	x	x	x	x	x	x	x	x
  Elementary administration and service occupations	92	77	203.4	228.4	57.5	96.8	117.9	128.6	165.7	245.5	300.0	320.4	343.9	415.8
    Elementary administration occupations	921	4	414.6	426.1	x	x	334.8	349.8	385.6	418.8	445.6	x	x	x
      Postal workers, mail sorters, messengers and couriers	9211	3	417.9	471.8	x	x	x	x	x	x	x	x	x	x
      Elementary administration occupations n.e.c.	9219	x	x	233.3	x	x	x	x	x	x	x	x	x	x
    Elementary cleaning occupations	923	19	180.0	193.8	69.0	94.0	112.7	122.2	153.3	205.5	235.6	262.6	285.0	x
      Window cleaners	9231	:												
      Street cleaners	9232	..												
      Cleaners and domestics	9233	15	175.2	179.7	x	x	x	x	x	x	x	x	x	x
      Launderers, dry cleaners and pressers	9234	x	x	222.3	x	x	x	x	x	x	x	x	x	x
      Refuse and salvage occupations	9235	x	355.8	358.0	x	x	x	x	x	x	x	x	x	x
      Vehicle valeters and cleaners	9236	x	x	172.4	x	x	x	x	x	x	x	x	x	x
      Elementary cleaning occupations n.e.c.	9239	..												
    Elementary security occupations	924	7	x	257.2	x	x	x	x	x	346.9	383.6	390.0	x	x
      Security guards and related occupations	9241	4	383.1	371.0	x	x	x	x	x	x	x	x	x	x
      Parking and civil enforcement occupations	9242	..												
      School midday and crossing patrol occupations	9244	x	x	77.7	x	x	x	x	x	x	x	x	x	x
      Elementary security occupations n.e.c.	9249	x	x	x	x	x	x	x	x	x	x	x	x	x
    Elementary sales occupations	925	x	x	257.1	x	x	x	x	x	x	x	x	x	x
      Shelf fillers	9251	x	x	239.6	x	x	x	x	x	x	x	x	x	x
      Elementary sales occupations n.e.c.	9259	..												
    Elementary storage occupations	926	9	368.7	370.1	x	291.3	300.0	307.5	340.9	394.9	417.3	437.7	456.8	x
      Elementary storage occupations	9260	9	368.7	370.1	x	x	x	x	x	x	x	x	x	x
    Other elementary services occupations	927	36	167.9	185.3	52.8	82.8	99.4	113.3	135.9	198.9	234.0	259.3	286.9	x
      Hospital porters	9271	x	x	x	x	x	x	x	x	x	x	x	x	x
      Kitchen and catering assistants	9272	19	179.2	191.9	x	x	x	x	x	x	x	x	x	x
      Waiters and waitresses	9273	9	x	147.0	x	x	x	x	x	x	x	x	x	x
      Bar staff	9274	6	x	198.9	x	x	x	x	x	x	x	x	x	x
      Leisure and theme park attendants	9275	x	x	x	x	x	x	x	x	x	x	x	x	x
      Other elementary services occupations n.e.c.	9279	x	x	243.6	x	x	x	x	x	x	x	x	x	x
